"listGender","listGenderTreatment","directGender","attentionCheck","gender","education","age","ageGroup","selfPlacement","motherTongue","region","weight"
1,0,1,1,"Woman","University degree",77,"65+",7,"Other language","Quebec",7.64235980721395e-06
3,1,1,1,"Man","University degree",42,"40-49",10,"French","Quebec",1.15222720580288e-05
3,1,1,1,"Woman","College",59,"50-64",2,"English","Ontario",0.000157605195794885
2,0,1,1,"Man","University degree",73,"65+",6,"English","Ontario",1.06140214589656e-05
2,1,1,1,"Man","College",34,"30-39",7,"French","Quebec",6.7284969835768e-05
3,1,1,1,"Woman","College",26,"18-29",8,"English","West",5.74362528394934e-05
2,1,1,1,"Man","College",27,"18-29",7,"Other language","West",5.37163693280496e-05
2,0,1,1,"Woman","University degree",71,"65+",7,"English","Ontario",2.15107534915493e-05
3,1,1,1,"Woman","University degree",54,"50-64",6,"English","Ontario",2.46564860830745e-05
2,0,1,1,"Man","University degree",27,"18-29",9,"English","West",9.18300698582453e-06
2,1,1,1,"Woman","High school or below",20,"18-29",5,"English","Ontario",0.000208409160560641
4,0,1,1,"Woman","University degree",44,"40-49",5,"English","Ontario",4.15280474800328e-05
3,1,1,1,"Man","University degree",60,"50-64",7,"English","West",9.53277330506541e-06
1,1,1,1,"Man","High school or below",55,"50-64",5,"English","Atlantic",0.000109022275867399
2,1,1,1,"Man","University degree",46,"40-49",3,"English","Ontario",2.04911272528863e-05
2,0,1,1,"Man","High school or below",19,"18-29",9,"English","West",6.65757109481468e-05
3,1,1,1,"Man","College",26,"18-29",8,"English","Ontario",3.61698487258977e-05
2,0,1,1,"Man","University degree",36,"30-39",7,"English","Ontario",1.47211468785047e-05
2,1,1,1,"Man","College",65,"65+",2,"English","West",5.31597650872406e-05
1,0,1,1,"Man","University degree",59,"50-64",6,"English","West",9.53277330506541e-06
4,1,1,1,"Man","University degree",26,"18-29",4,"English","Ontario",1.17198261779805e-05
2,1,1,1,"Man","College",47,"40-49",6,"French","Quebec",4.52197795551834e-05
1,0,1,1,"Man","College",69,"65+",6,"English","Atlantic",4.25412285415261e-05
3,1,1,1,"Man","University degree",56,"50-64",4,"Other language","West",1.80682245771724e-05
3,1,1,1,"Woman","High school or below",33,"30-39",7,"English","West",0.000169477461466339
2,1,1,1,"Woman","College",44,"40-49",5,"English","Ontario",0.000105895611051565
3,1,1,1,"Woman","University degree",44,"40-49",6,"Other language","Quebec",1.47541219817082e-05
2,0,1,1,"Woman","College",56,"50-64",8,"French","Quebec",4.49577636805198e-05
